column,semantic_role,rows_observed,non_null_count,missing_count,missing_rate,numeric_count,numeric_min,numeric_max,numeric_mean,numeric_median,zero_count,negative_count,positive_count,inf_count,has_missing,has_negative_values,has_zero_values,has_infinite_values,requires_manual_semantic_review,potential_price_field,potential_time_field
LQTime,QUOTE_TIMESTAMP,122441,122441,0,0.0,0,,,,,0,0,0,0,False,False,False,False,False,False,True
LBB,QUOTE_PRICE,122441,122441,0,0.0,122441,0.01,767.05,,,0,0,122441,0,False,False,False,False,False,True,False
LBO,QUOTE_PRICE,122441,122441,0,0.0,122441,0.19,769.0,,,0,0,122441,0,False,False,False,False,False,True,False
LMid,QUOTE_PRICE,122441,122441,0,0.0,122441,0.175,767.71,,,0,0,122441,0,False,False,False,False,False,True,False
OTime,TRADE_OR_EVENT_TIMESTAMP,122441,122441,0,0.0,0,,,,,0,0,0,0,False,False,False,False,False,False,True
OPrice,TRADE_OR_EVENT_PRICE,122441,122441,0,0.0,122441,0.14,770.96,,,0,0,122441,0,False,False,False,False,False,True,False
DTime,TRADE_OR_EVENT_TIMESTAMP,122441,122439,2,1.633439779158942e-05,0,,,,,0,0,0,0,True,False,False,False,False,False,True
DPrice,TRADE_OR_EVENT_PRICE,122441,122439,2,1.633439779158942e-05,122439,0.15,768.28,,,0,0,122439,0,True,False,False,False,False,True,False
Vol_oc,OTHER,122441,122440,1,8.16719889579471e-06,122440,100.0,2764489220.0,,,0,0,122440,0,True,False,False,False,True,False,False
Value_oc,OTHER,122441,122440,1,8.16719889579471e-06,122440,22.0,80756227861.0,,,0,0,122440,0,True,False,False,False,True,False,False
LTTime,TRADE_OR_EVENT_TIMESTAMP,122441,114459,7982,0.06519058158623336,0,,,,,0,0,0,0,True,False,False,False,False,False,True
LPrice,TRADE_OR_EVENT_PRICE,122441,114459,7982,0.06519058158623336,114459,0.23,768.0,,,0,0,114459,0,True,False,False,False,False,True,False
TTime_1pm,TRADE_OR_EVENT_TIMESTAMP,122441,122293,148,0.001208745436577617,0,,,,,0,0,0,0,True,False,False,False,False,False,True
Price_1pm,TRADE_OR_EVENT_PRICE,122441,122293,148,0.001208745436577617,122293,0.14,769.97,,,0,0,122293,0,True,False,False,False,False,True,False
TTime_4pm,TRADE_OR_EVENT_TIMESTAMP,122441,122439,2,1.633439779158942e-05,0,,,,,0,0,0,0,True,False,False,False,False,False,True
Price_4pm,TRADE_OR_EVENT_PRICE,122441,122439,2,1.633439779158942e-05,122439,0.15,768.28,,,0,0,122439,0,True,False,False,False,False,True,False
CPrc,QUOTE_PRICE,122441,122440,1,8.16719889579471e-06,122440,0.15,768.05,,,0,0,122440,0,True,False,False,False,False,True,False
CTime,TRADE_OR_EVENT_TIMESTAMP,122441,122440,1,8.16719889579471e-06,0,,,,,0,0,0,0,True,False,False,False,False,False,True
CPrc2,QUOTE_PRICE,122441,122440,1,8.16719889579471e-06,122440,0.15,768.05,,,0,0,122440,0,True,False,False,False,False,True,False
CTime2,TRADE_OR_EVENT_TIMESTAMP,122441,122440,1,8.16719889579471e-06,0,,,,,0,0,0,0,True,False,False,False,False,False,True
Ret_pre_t,MARKET_STATISTIC,122441,65458,56983,0.46539149467906993,65458,-4.850727332,0.3278638621,,,2489,32368,30601,0,True,True,True,False,False,False,False
Ret_mkt_t,MARKET_STATISTIC,122441,122440,1,8.16719889579471e-06,122440,-0.405465108,0.7731898882,,,3767,59301,59372,0,True,True,True,False,False,False,False
Ret_post_t,MARKET_STATISTIC,122441,82625,39816,0.32518519123496215,82625,-1.115718419,0.1940201149,,,22244,28794,31587,0,True,True,True,False,False,False,False
MFCount,TRADING_ACTIVITY,122441,122441,0,0.0,122441,0.0,1393624.0,,,3330,0,119111,0,False,False,True,False,False,False,False
NumTrades_t,TRADING_ACTIVITY,122441,122441,0,0.0,122441,1.0,2293250.0,,,0,0,122441,0,False,False,False,False,False,False,False
NumTrades_m,TRADING_ACTIVITY,122441,122441,0,0.0,122441,0.0,2246056.0,,,2,0,122439,0,False,False,True,False,False,False,False
SumVolume_t,TRADING_ACTIVITY,122441,122441,0,0.0,122441,100.0,3775415184.0,,,0,0,122441,0,False,False,False,False,False,False,False
SumVolume_m,TRADING_ACTIVITY,122441,122441,0,0.0,122441,0.0,2764707616.0,,,2,0,122439,0,False,False,True,False,False,False,False
SumValue_b,TRADING_ACTIVITY,122441,122441,0,0.0,122441,0.0,7746480753.0,,,56983,0,65458,0,False,False,True,False,False,False,False
SumValue_m,TRADING_ACTIVITY,122441,122441,0,0.0,122441,0.0,80777956912.0,,,2,0,122439,0,False,False,True,False,False,False,False
NumISOTrades_m,OTHER,122441,122441,0,0.0,122441,0.0,1271851.0,,,82518,0,39923,0,False,False,True,False,True,False,False
SumISOVolume_m,OTHER,122441,122441,0,0.0,122441,0.0,603644803.0,,,82518,0,39923,0,False,False,True,False,True,False,False
SumISOValue_m,OTHER,122441,122441,0,0.0,122441,0.0,47081291885.0,,,82518,0,39923,0,False,False,True,False,True,False,False
NumOddLotTrades_m,OTHER,122441,122441,0,0.0,122441,0.0,1709.0,,,115603,0,6838,0,False,False,True,False,True,False,False
SumOddLotVolume_m,OTHER,122441,122441,0,0.0,122441,0.0,54356.0,,,116225,0,6216,0,False,False,True,False,True,False,False
SumOddLotValue_m,OTHER,122441,122441,0,0.0,122441,0.0,3520881.5,,,116225,0,6216,0,False,False,True,False,True,False,False
NumMixedLotTrades_m,OTHER,122441,122441,0,0.0,122441,0.0,317405.0,,,76208,0,46233,0,False,False,True,False,True,False,False
SumMixedLotVolume_m,OTHER,122441,122441,0,0.0,122441,0.0,465289596.0,,,76208,0,46233,0,False,False,True,False,True,False,False
SumMixedLotValue_m,OTHER,122441,122441,0,0.0,122441,0.0,11251431634.0,,,76208,0,46233,0,False,False,True,False,True,False,False
BuyNumTrades_LR1,TRADING_ACTIVITY,122441,122441,0,0.0,122441,0.0,1134874.0,,,348,0,122093,0,False,False,True,False,False,False,False
SellNumTrades_LR1,TRADING_ACTIVITY,122441,122441,0,0.0,122441,0.0,1158376.0,,,176,0,122265,0,False,False,True,False,False,False,False
BuyVol_LR1,TRADE_DIRECTION,122441,122441,0,0.0,122441,0.0,2142735423.0,,,348,0,122093,0,False,False,True,False,False,False,False
SellVol_LR1,TRADE_DIRECTION,122441,122441,0,0.0,122441,0.0,1711995480.0,,,176,0,122265,0,False,False,True,False,False,False,False
BuyDollar_LR1,TRADE_DIRECTION,122441,122441,0,0.0,122441,0.0,43931821543.0,,,348,0,122093,0,False,False,True,False,False,False,False
SellDollar_LR1,TRADE_DIRECTION,122441,122441,0,0.0,122441,0.0,47353450663.0,,,176,0,122265,0,False,False,True,False,False,False,False
ESpreadDollar_Avg1,EXECUTION_COST_METRIC,122441,122382,59,0.00048186473485188787,122382,0.0,28.326589407,,,5,0,122377,0,True,False,True,False,False,False,False
ESpreadPct_Avg1,EXECUTION_COST_METRIC,122441,122382,59,0.00048186473485188787,122382,0.0,0.6271195201,,,5,0,122377,0,True,False,True,False,False,False,False
RSpreadDollar_Avg1,EXECUTION_COST_METRIC,122441,122378,63,0.0005145335304350667,122378,-2.167218994,28.056579134,,,39,27018,95321,0,True,True,True,False,False,False,False
RSpreadPct_Avg1,EXECUTION_COST_METRIC,122441,122378,63,0.0005145335304350667,122378,-0.155923083,0.6279588852,,,8,27038,95332,0,True,True,True,False,False,False,False
PriceImpactDollar_Avg1,EXECUTION_COST_METRIC,122441,122378,63,0.0005145335304350667,122378,-0.348194899,5.0352564103,,,1265,2150,118963,0,True,True,True,False,False,False,False
PriceImpactPct_Avg1,EXECUTION_COST_METRIC,122441,122378,63,0.0005145335304350667,122378,-0.070204259,0.2535034113,,,1202,2179,118997,0,True,True,True,False,False,False,False
ESpreadDollar_VW1,EXECUTION_COST_METRIC,122441,122382,59,0.00048186473485188787,122382,0.0,1681.0024894,,,5,0,122377,0,True,False,True,False,False,False,False
ESpreadDollar_SW1,EXECUTION_COST_METRIC,122441,122382,59,0.00048186473485188787,122382,0.0,87.148372357,,,5,0,122377,0,True,False,True,False,False,False,False
ESpreadPct_VW1,EXECUTION_COST_METRIC,122441,122382,59,0.00048186473485188787,122382,0.0,1.1296299746,,,5,0,122377,0,True,False,True,False,False,False,False
ESpreadPct_SW1,EXECUTION_COST_METRIC,122441,122382,59,0.00048186473485188787,122382,0.0,4.1540266429,,,5,0,122377,0,True,False,True,False,False,False,False
RSpreadDollar_SW1,EXECUTION_COST_METRIC,122441,122378,63,0.0005145335304350667,122378,-5.681343502,87.14559001,,,6,14839,107533,0,True,True,True,False,False,False,False
RSpreadDollar_VW1,EXECUTION_COST_METRIC,122441,122378,63,0.0005145335304350667,122378,-5.859808174,1680.9696358,,,3,14836,107539,0,True,True,True,False,False,False,False
RSpreadPct_SW1,EXECUTION_COST_METRIC,122441,122378,63,0.0005145335304350667,122378,-0.155923083,4.1539833194,,,3,14873,107502,0,True,True,True,False,False,False,False
RSpreadPct_VW1,EXECUTION_COST_METRIC,122441,122378,63,0.0005145335304350667,122378,-0.155923083,1.1289219678,,,3,14844,107531,0,True,True,True,False,False,False,False
PriceImpactDollar_VW1,EXECUTION_COST_METRIC,122441,122378,63,0.0005145335304350667,122378,-2.223008721,19.089750482,,,1157,5099,116122,0,True,True,True,False,False,False,False
PriceImpactDollar_SW1,EXECUTION_COST_METRIC,122441,122378,63,0.0005145335304350667,122378,-2.158235394,19.258779833,,,1167,5105,116106,0,True,True,True,False,False,False,False
PriceImpactPct_VW1,EXECUTION_COST_METRIC,122441,122378,63,0.0005145335304350667,122378,-0.433359621,0.91800667,,,1164,5100,116114,0,True,True,True,False,False,False,False
PriceImpactPct_SW1,EXECUTION_COST_METRIC,122441,122378,63,0.0005145335304350667,122378,-2.177028725,18.651191412,,,1157,5106,116115,0,True,True,True,False,False,False,False
IVol_t_m,MARKET_STATISTIC,122441,122261,180,0.0014700958012430476,122261,0.0,0.9114884002,,,115,0,122146,0,True,False,True,False,False,False,False
IVol_q_m,MARKET_STATISTIC,122441,121729,712,0.005815045613805833,121729,0.0,0.2386397441,,,85,0,121644,0,True,False,True,False,False,False,False
NumExtremeOfr_m,QUOTE_QUALITY_METRIC,122441,89904,32537,0.26573615047247245,89904,1.0,419885771.0,,,0,0,89904,0,True,False,False,False,False,False,False
NumExtremeBid_m,QUOTE_QUALITY_METRIC,122441,81890,40551,0.3311880824233713,81890,1.0,39418439.0,,,0,0,81890,0,True,False,False,False,False,False,False
QSpreadDollar_EW_m,QUOTE_QUALITY_METRIC,122441,121914,527,0.004304113818083812,121914,0.0092928805,29.855876866,,,0,0,121914,0,True,False,False,False,False,False,False
QSpreadPct_EW_m,QUOTE_QUALITY_METRIC,122441,121914,527,0.004304113818083812,121914,6.53753e-05,1.6408082148,,,0,0,121914,0,True,False,False,False,False,False,False
QSpreadDollar_TW_m,QUOTE_QUALITY_METRIC,122441,121919,522,0.004263277823604838,121919,0.0089450777,29.857649842,,,0,0,121919,0,True,False,False,False,False,False,False
QSpreadPct_TW_m,QUOTE_QUALITY_METRIC,122441,121919,522,0.004263277823604838,121919,6.4294e-05,0.9325682668,,,0,0,121919,0,True,False,False,False,False,False,False
TOfrDollar_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,122441,121948,493,0.004026429055626792,121948,30.0,80098497.312,,,0,0,121948,0,True,False,False,False,False,False,False
TBidDollar_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,122441,121948,493,0.004026429055626792,121948,30.0,87940915.501,,,0,0,121948,0,True,False,False,False,False,False,False
TOfrShares_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,122441,121948,493,0.004026429055626792,121948,100.0,23616566.204,,,0,0,121948,0,True,False,False,False,False,False,False
TBidShares_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,122441,121948,493,0.004026429055626792,121948,100.0,27494773.955,,,0,0,121948,0,True,False,False,False,False,False,False
BOfrDollar_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,122441,121948,493,0.004026429055626792,121948,30.0,54381159.438,,,0,0,121948,0,True,False,False,False,False,False,False
BBidDollar_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,122441,121948,493,0.004026429055626792,121948,30.0,56487783.235,,,0,0,121948,0,True,False,False,False,False,False,False
BOfrShares_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,122441,121948,493,0.004026429055626792,121948,100.0,7582467.4888,,,0,0,121948,0,True,False,False,False,False,False,False
BBidShares_TW_m,QUOTE_DEPTH_OR_ORDER_FLOW,122441,121948,493,0.004026429055626792,121948,100.0,7184575.7176,,,0,0,121948,0,True,False,False,False,False,False,False
VarianceRatio1,MARKET_STATISTIC,122441,121621,820,0.006697103094551662,121621,0.0,1.6438363601,,,132,0,121489,0,True,False,True,False,False,False,False
VarianceRatio2,MARKET_STATISTIC,122441,121600,841,0.0068686142713633505,121600,0.0,2.1517295671,,,137,0,121463,0,True,False,True,False,False,False,False
TSignSqrtDVol1,TRADE_DIRECTION,122441,119897,2544,0.02077735399090174,119897,-0.001675304,0.0040237725,,,112,24430,95355,0,True,True,True,False,False,False,False
TSignSqrtDVol2,TRADE_DIRECTION,122441,119897,2544,0.02077735399090174,119897,-0.001693118,0.0037319265,,,107,24470,95320,0,True,True,True,False,False,False,False
NObsUsed1,OBSERVATION_COUNT,122441,119897,2544,0.02077735399090174,119897,8.0,78.0,,,0,0,119897,0,True,False,False,False,False,False,False
NObsUsed2,OBSERVATION_COUNT,122441,119897,2544,0.02077735399090174,119897,10.0,191.0,,,0,0,119897,0,True,False,False,False,False,False,False
NumTimeUnitsWithTrade1,OBSERVATION_COUNT,122441,121939,502,0.004099933845688944,121939,1.0,13.0,,,0,0,121939,0,True,False,False,False,False,False,False
NumTimeUnitsWithTrade2,OBSERVATION_COUNT,122441,121939,502,0.004099933845688944,121939,1.0,78.0,,,0,0,121939,0,True,False,False,False,False,False,False
HIndex1,MARKET_STATISTIC,122441,121939,502,0.004099933845688944,121939,0.0779274087,1.0,,,0,0,121939,0,True,False,False,False,False,False,False
